epoch,train_loss,val_loss,dice_edema,dice_core,dice_enhancing,mean_dice,lr,sec_per_epoch
1,0.8083618139801857,0.7276595774610057,0.011269757524132729,0.09875776618719101,0.030968131497502327,0.04699855297803879,9.98458666866564e-05,191.10680556297302
2,0.5840926634189506,0.5807233835089851,0.06848585605621338,0.199161559343338,0.08219468593597412,0.11661403626203537,9.938441702975689e-05,196.00118136405945
3,0.35520418015196425,0.47595952613992387,0.15690697729587555,0.33245912194252014,0.19882597029209137,0.22939735651016235,9.861849601988383e-05,195.40020608901978
4,0.181994812305157,0.43299429267625755,0.20669177174568176,0.3922078013420105,0.2728825807571411,0.29059407114982605,9.755282581475767e-05,198.99457454681396
5,0.12847653778302603,0.41394577160556056,0.2291339784860611,0.4248211979866028,0.30430662631988525,0.31942060589790344,9.619397662556432e-05,196.23327207565308
6,0.10998233576242596,0.405778831686476,0.24743761122226715,0.43578895926475525,0.3152890205383301,0.3328385353088379,9.455032620941837e-05,196.39164352416992
7,0.09832822631735429,0.40051156559371165,0.24895915389060974,0.4472292959690094,0.32886484265327454,0.3416844308376312,9.26320082177046e-05,197.40991616249084
8,0.09452355309445377,0.39600321804661603,0.2563122510910034,0.45400601625442505,0.3327658772468567,0.3476947247982025,9.045084971874737e-05,192.6074538230896
9,0.09046862557900451,0.39423093586460095,0.255727618932724,0.45808929204940796,0.34039831161499023,0.3514050841331482,8.802029828000154e-05,175.26877975463867
10,0.08592389788070208,0.39277338998459405,0.2619349956512451,0.4583510160446167,0.34065866470336914,0.35364824533462524,8.535533905932737e-05,182.76212453842163
11,0.08310998181441855,0.3903088641478825,0.2650645077228546,0.4660586714744568,0.3406754434108734,0.3572661876678467,8.247240241650918e-05,189.78847074508667
12,0.08298764953751914,0.3897083177445345,0.26841557025909424,0.4661492705345154,0.34034937620162964,0.3583047389984131,7.938926261462365e-05,171.90525341033936
13,0.07935444383748295,0.38812340964494935,0.26999083161354065,0.4702611267566681,0.3421364724636078,0.36079615354537964,7.612492823579742e-05,187.43504428863525
14,0.07758890993301974,0.39029618046920544,0.26513755321502686,0.4673509895801544,0.3410273492336273,0.35783863067626953,7.269952498697731e-05,192.72967314720154
