epoch,train_loss,val_loss,dice_edema,dice_core,dice_enhancing,mean_dice,lr,sec_per_epoch
1,0.830352081253743,0.7688020080802105,0.008633134886622429,0.09596952050924301,0.033810265362262726,0.04613764211535454,9.98458666866564e-05,151.779128074646
2,0.6366282794636797,0.6378628051723485,0.04894130676984787,0.16058331727981567,0.06217648833990097,0.09056703746318817,9.938441702975689e-05,144.16156196594238
3,0.4736338507088093,0.5409425760740715,0.0987631157040596,0.2414158582687378,0.1291169971227646,0.15643200278282166,9.861849601988383e-05,154.0620756149292
4,0.3025346453144452,0.47845708010722715,0.17008985579013824,0.3191155791282654,0.21777121722698212,0.23565888404846191,9.755282581475767e-05,145.32714104652405
5,0.19280478436541418,0.43529669376080893,0.2147102653980255,0.368828147649765,0.28666213154792786,0.29006683826446533,9.619397662556432e-05,153.7438178062439
6,0.14439371441511129,0.41599530230644294,0.24642445147037506,0.3902719020843506,0.32670915126800537,0.32113516330718994,9.455032620941837e-05,138.4242284297943
7,0.1264634385793051,0.40393091632146344,0.2666831314563751,0.40606826543807983,0.34447798132896423,0.3390764594078064,9.26320082177046e-05,145.74027681350708
8,0.11336955482914349,0.39736250717693944,0.27504533529281616,0.41988223791122437,0.3536721467971802,0.3495332598686218,9.045084971874737e-05,155.27890849113464
9,0.10560159628828028,0.39078751238484716,0.28391870856285095,0.42700833082199097,0.36704689264297485,0.3593246340751648,8.802029828000154e-05,131.53147149085999
10,0.10092733809216901,0.38803920160818,0.2844763994216919,0.43482041358947754,0.37403807044029236,0.3644449710845947,8.535533905932737e-05,170.7131814956665
11,0.09621435699303214,0.3852971362355015,0.2895829677581787,0.4359133839607239,0.3806564509868622,0.36871761083602905,8.247240241650918e-05,135.33748316764832
12,0.0939772437844555,0.3838701048082005,0.29231497645378113,0.43771693110466003,0.38337844610214233,0.37113678455352783,7.938926261462365e-05,148.67102313041687
13,0.0909082852573044,0.3783279368966679,0.29659798741340637,0.4524090588092804,0.38803619146347046,0.37901443243026733,7.612492823579742e-05,152.4800899028778
14,0.08907176715640433,0.3806584512863668,0.297770231962204,0.4442661702632904,0.3900681734085083,0.3773682117462158,7.269952498697731e-05,140.84484839439392
15,0.08689023219709402,0.37783319491694906,0.30091533064842224,0.4503759741783142,0.3889124393463135,0.38006791472435,6.913417161825447e-05,149.1621150970459
16,0.08559261537349623,0.3813471466269348,0.3015378415584564,0.4407191276550293,0.38927340507507324,0.37717682123184204,6.545084971874736e-05,152.19509720802307
17,0.08434137492608805,0.3752353419430785,0.305402547121048,0.45425501465797424,0.3969922661781311,0.38554996252059937,6.167226819279526e-05,146.7560658454895
18,0.08255588238323823,0.3764706490489231,0.3042588531970978,0.45149800181388855,0.39719945192337036,0.3843187987804413,5.7821723252011525e-05,144.1194965839386
19,0.08156055352911695,0.3731684459763364,0.3083310127258301,0.4603288769721985,0.3939577043056488,0.38753923773765564,5.392295478639223e-05,146.90605354309082
20,0.08005876357783946,0.37178670770003636,0.30924296379089355,0.46031853556632996,0.4011964499950409,0.3902526795864105,4.999999999999998e-05,145.77536296844482
21,0.07904327832509715,0.37208797511000086,0.3092197775840759,0.46040329337120056,0.40077313780784607,0.3901320695877075,4.607704521360774e-05,147.55984210968018
22,0.07822442061597394,0.37047273655250373,0.30983030796051025,0.4662494659423828,0.40169504284858704,0.39259159564971924,4.217827674798845e-05,146.43668246269226
23,0.07677391769262966,0.37118722352111105,0.3089831471443176,0.46597227454185486,0.39945414662361145,0.39146989583969116,3.832773180720472e-05,149.48253059387207
24,0.07609295016319753,0.36979797283744537,0.3106403052806854,0.4690020978450775,0.40146762132644653,0.3937033414840698,3.4549150281252616e-05,148.99408960342407
25,0.0755140419587131,0.3704470623809579,0.31151363253593445,0.46744364500045776,0.39951643347740173,0.39282459020614624,3.08658283817455e-05,149.83390378952026
26,0.07455724567781524,0.36955784364430905,0.3081418573856354,0.47178539633750916,0.4024512469768524,0.39412617683410645,2.730047501302265e-05,149.15005946159363
27,0.07403043213833028,0.36924247515272446,0.3125901222229004,0.4688628613948822,0.40215688943862915,0.3945366144180298,2.387507176420255e-05,144.96788477897644
28,0.07325380842934606,0.36817888252493386,0.31576085090637207,0.4698491394519806,0.4027620255947113,0.396124005317688,2.061073738537634e-05,152.10520839691162
29,0.07295764236174676,0.37063473325133534,0.3125593066215515,0.4621221423149109,0.4040187895298004,0.3929000794887543,1.7527597583490816e-05,150.20559859275818
30,0.07245310736931396,0.36788097836667466,0.3132290244102478,0.4733303487300873,0.4029514789581299,0.39650362730026245,1.464466094067262e-05,150.3744158744812
31,0.07217128678559474,0.3688622183227355,0.31323912739753723,0.46897992491722107,0.40402957797050476,0.3954162299633026,1.1979701719998447e-05,141.1994972229004
32,0.07192556913244982,0.36866690373853644,0.3128296136856079,0.4698483645915985,0.4041479825973511,0.39560866355895996,9.549150281252628e-06,149.48495721817017
33,0.07107751084172405,0.36890743741570764,0.3129369914531708,0.46863698959350586,0.40543127059936523,0.3956684470176697,7.367991782295387e-06,151.4394280910492
34,0.07087636127021073,0.3687521301338034,0.31328245997428894,0.4698486328125,0.40420234203338623,0.3957778215408325,5.449673790581608e-06,150.49191522598267
35,0.07083167364663069,0.36889842741171036,0.31414711475372314,0.46923649311065674,0.4035134017467499,0.3956323564052582,3.806023374435661e-06,148.72306609153748
36,0.07049466809471892,0.36830164919553915,0.31563010811805725,0.4688720107078552,0.4042302370071411,0.3962441384792328,2.447174185242322e-06,149.31547927856445
